SKU,Price_ardes
VCNRTXA1000-PB,1008
VCNRTXA2000-SB12,1444
GV-N5070EAGLEOC ICE-12GD,1545
GV-N506TEAGLE OC-8GD,963
ZT-B50610E-10M,949
N50602-08D7X-195070N,699
ZT-B50700D-10P,1389
ZT-B50710D3-10P,1915
GV-N506TWF2OC-8GD,937
ZT-B50700E-10P,1320
GV-N507TEAGLEOC ICE-16GD,1949
GV-N4060EAGLEOC-ICE-8GD,723
90YV0JCB-M0NA00,889
1A1-G00433900G,739
GV-N506TEAGLEOC ICE-8GD,970
GT_1030_4GHD4_LP_OC,174
N50702-12D7X-195064N,1393
ZT-B50600H-10M,743
GV-N5060WF2-8GD,722
ZT-B50610H-10M,975
GV-N5060EAGLE OC-8GD,724
1A1-G00434300G,776
ZT-B50700H-10P,1410
N506T3-16D7X-191073L,1049
VCNT1000,1023
90-GA5NZZ-00UANF,1356
ZT-B50620E-10M,1068
